Tiempo activo,Tiempo en taller,Tiempo en stand-by,Vehiculos reparados
0.2305988254886402,0.7542521812370436,0.015148993274316111,1088
0.24167986364842844,0.736889518074672,0.02143061827689967,1069
0.255046945597647,0.7267794137036455,0.018173640698707576,1084
0.23678251694942032,0.7459254747893138,0.01729200826126583,1061
0.26051097501098147,0.7202946680705713,0.01919435691844721,1035
0.2209860849613023,0.7669331847384295,0.012080730300268253,995
0.24624116042005054,0.734002385211823,0.019756454368126404,1015
0.22856178476073438,0.7560707390148634,0.0153674762244022,1049
0.2353758569911819,0.7439262022988973,0.020697940709920835,1092
0.23358565316926566,0.7545075667071931,0.011906780123541353,1078
0.23861370399840806,0.7458721194025887,0.01551417659900322,1073
